0	0.5
1	0.184367
2	0.0677459
3	0.0249844
4	0.00918093
5	0.00339115
6	0.00123498
7	0.000453912
8	0.000166977
9	6.16434e-05
10	2.26818e-05
11	8.35457e-06
12	3.07211e-06
13	1.13341e-06
14	4.14095e-07
15	1.52367e-07
16	5.66479e-08
17	2.06686e-08
18	7.5885e-09
19	2.79938e-09
20	1.03047e-09
21	3.79348e-10
22	1.39418e-10
23	5.14278e-11
24	1.88933e-11
25	6.92905e-12
26	2.56158e-12
27	9.38893e-13
28	3.47185e-13
29	1.27162e-13
30	4.67972e-14
31	1.72528e-14
32	6.31866e-15
33	1.71579e-14
34	4.67536e-14
35	1.27023e-13
36	3.45726e-13
37	9.39569e-13
38	2.55162e-12
39	6.96348e-12
40	1.8987e-11
41	5.13171e-11
42	1.38966e-10
43	3.78261e-10
44	1.02726e-09
45	2.79078e-09
46	7.57884e-09
47	2.07336e-08
48	5.64504e-08
49	1.52895e-07
50	4.15046e-07
51	1.13207e-06
52	3.07745e-06
53	8.3782e-06
54	2.27477e-05
55	6.14685e-05
56	0.000167975
57	0.000457457
58	0.00123466
59	0.00336431
60	0.00912767
61	0.0248409
62	0.0680312
63	0.184209
64	0.5
